,Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
307,"Conroe, TX",October 2013,All Residential,Place/City,False,TX,0.973697881,-0.1%,0.4%,132,-19.5%,10.9%,461,-7.4%,-13.2%,41,-3,-35.0,$171K,-7.8%,10.6%,151,-1.3%,15.3%
308,"Texas City, TX",June 2015,All Residential,Place/City,False,TX,0.9456206229999999,-4.2%,0.8%,36,-12.2%,-23.4%,145,2.8%,-4.6%,25,9,-6.0,$126K,-3.4%,42.3%,59,7.3%,-9.2%
309,"Missouri City, TX",December 2015,All Residential,Place/City,False,TX,0.9734787890000001,0.7%,0.2%,143,43.0%,2.1%,324,-10.5%,18.7%,38,2,6.0,$240K,6.7%,-2.0%,97,-17.1%,-10.2%
310,"Houston, TX",December 2015,All Residential,Place/City,False,TX,0.968499173,-0.3%,-1.0%,2472,37.0%,-7.2%,7896,-6.4%,32.2%,38,4,10.0,$200K,11.0%,3.2%,2053,-20.3%,-3.5%
311,"Pasadena, TX",July 2016,All Residential,Place/City,False,TX,0.9821855159999999,-0.3%,0.0%,94,-11.3%,-6.0%,172,6.8%,-13.1%,14,-6,-2.0,$162K,8.0%,16.5%,125,9.6%,-12.6%
312,"Missouri City, TX",October 2016,All Residential,Place/City,False,TX,0.982028839,0.6%,0.7%,117,-18.2%,-6.4%,488,-1.4%,25.4%,27,-8,-6.0,$230K,-1.3%,0.2%,165,19.6%,0.0%
313,"League City, TX",September 2018,All Residential,Place/City,False,TX,0.972682102,-1.0%,-0.6%,165,-22.5%,-10.3%,534,-6.0%,16.1%,27,3,-4.0,$265K,0.8%,2.3%,152,-40.4%,-3.2%
314,"Texas City, TX",June 2020,All Residential,Place/City,False,TX,0.977655539,0.7%,-0.3%,88,46.7%,-4.3%,215,-7.3%,2.9%,53,14,14.0,$214K,23.5%,13.7%,95,-6.9%,13.1%
315,"Conroe, TX",September 2012,All Residential,Place/City,False,TX,0.9517705559999999,-2.0%,-0.9%,126,-13.7%,27.3%,578,-0.7%,-8.1%,63,11,-6.0,$155K,-9.0%,-2.8%,144,-13.8%,-9.4%
316,"Conroe, TX",June 2013,All Residential,Place/City,False,TX,0.97295099,-0.4%,1.8%,174,-10.3%,20.8%,480,4.1%,-22.3%,38,1,-25.0,$199K,20.2%,14.0%,215,2.4%,11.4%
317,"Missouri City, TX",November 2013,All Residential,Place/City,False,TX,0.975625596,0.6%,0.4%,115,-6.5%,1.8%,360,-5.5%,-21.7%,47,-3,-24.0,$212K,5.5%,14.3%,122,-19.7%,0.8%
318,"Pasadena, TX",March 2014,All Residential,Place/City,False,TX,0.9755949840000001,0.9%,0.2%,66,6.5%,11.9%,236,-9.2%,-20.5%,52,6,0.0,$130K,9.7%,27.5%,110,25.0%,13.4%
319,"Missouri City, TX",June 2014,All Residential,Place/City,False,TX,0.982949437,0.7%,0.0%,177,9.3%,-4.3%,380,8.9%,-13.2%,19,-13,-12.0,$250K,6.0%,14.2%,213,-1.4%,13.3%
320,"Sugar Land, TX",July 2014,All Residential,Place/City,False,TX,0.9842493090000001,-0.6%,0.4%,214,-16.7%,-23.3%,419,7.4%,4.5%,13,2,-1.0,$320K,-1.7%,13.7%,274,-5.2%,-9.6%
321,"Baytown, TX",June 2015,All Residential,Place/City,False,TX,0.9788898890000001,-0.1%,-0.7%,111,40.5%,14.4%,227,3.7%,-16.5%,17,-14,-18.0,$155K,3.7%,10.7%,125,2.5%,0.8%
322,"Conroe, TX",August 2015,All Residential,Place/City,False,TX,0.977139111,0.3%,0.4%,173,-10.4%,-3.9%,703,-4.2%,32.6%,31,-5,-1.0,$229K,4.1%,2.9%,223,-14.2%,-0.9%
323,"Baytown, TX",December 2015,All Residential,Place/City,False,TX,0.967271951,-0.9%,0.4%,78,5.4%,-8.2%,252,-8.4%,2.9%,34,1,-1.0,$153K,2.1%,0.2%,75,-8.5%,44.2%
324,"Galveston, TX",June 2016,All Residential,Place/City,False,TX,0.9547175059999999,0.6%,-1.0%,132,6.5%,3.9%,655,1.1%,17.4%,45,2,-20.0,$187K,-12.1%,17.6%,184,-1.6%,34.3%
325,"Galveston, TX",November 2016,All Residential,Place/City,False,TX,0.9559999779999999,1.3%,0.1%,68,-37.0%,-16.0%,594,-1.8%,9.4%,62,-12,6.0,$238K,13.5%,36.1%,112,-10.4%,4.7%
326,"Missouri City, TX",February 2017,All Residential,Place/City,False,TX,0.9691622879999999,0.0%,0.0%,102,15.9%,0.0%,428,-2.1%,19.2%,67,25,22.0,$256K,7.7%,6.0%,155,4.0%,0.0%
327,"Conroe, TX",March 2017,All Residential,Place/City,False,TX,0.969595269,-0.4%,-0.2%,197,19.4%,14.5%,747,5.1%,0.1%,70,-8,21.0,$240K,8.1%,10.1%,310,23.5%,28.1%
328,"Texas City, TX",August 2017,All Residential,Place/City,False,TX,0.9660295190000001,-2.1%,1.0%,36,-39.0%,-42.9%,198,3.7%,125.0%,37,29,11.0,$169K,12.7%,33.6%,61,-29.1%,8.9%
329,"Houston, TX",November 2017,All Residential,Place/City,False,TX,0.9660229,-0.2%,-0.3%,2410,-1.7%,5.2%,9085,-3.3%,3.1%,47,-1,8.0,$208K,0.0%,0.9%,2865,-10.4%,14.1%
330,"Friendswood, TX",February 2018,All Residential,Place/City,False,TX,0.972588082,1.3%,0.1%,70,52.2%,27.3%,151,-7.4%,6.3%,50,32,14.0,$214K,-5.5%,-26.6%,76,-15.6%,20.6%
331,"Texas City, TX",July 2018,All Residential,Place/City,False,TX,0.98289717,1.4%,-0.4%,85,9.0%,44.1%,225,5.6%,17.8%,28,0,20.0,$183K,7.8%,22.0%,85,-19.8%,-1.2%
332,"Houston, TX",July 2018,All Residential,Place/City,False,TX,0.9734956440000001,0.1%,-0.1%,2905,-9.7%,7.4%,10539,2.9%,-3.9%,29,2,1.0,$228K,0.0%,8.6%,4122,-1.3%,2.7%
333,"Missouri City, TX",July 2018,All Residential,Place/City,False,TX,0.980542487,0.1%,0.9%,157,3.3%,-1.3%,599,1.5%,-6.0%,36,8,5.0,$258K,2.9%,9.2%,222,-5.5%,-0.4%
334,"League City, TX",October 2018,All Residential,Place/City,False,TX,0.980836652,0.8%,-0.3%,172,4.2%,19.4%,480,-10.1%,13.5%,42,15,7.0,$270K,2.1%,-0.2%,167,9.9%,10.6%
335,"Sugar Land, TX",March 2019,All Residential,Place/City,False,TX,0.960216755,-0.3%,-0.6%,153,50.0%,-10.0%,714,15.3%,8.8%,69,-9,-2.0,$320K,14.9%,-0.9%,302,57.3%,-1.6%
336,"Baytown, TX",May 2019,All Residential,Place/City,False,TX,0.9789405529999999,-0.1%,0.4%,109,0.9%,-1.8%,283,12.3%,1.1%,27,-7,0.0,$190K,-1.0%,2.2%,148,34.5%,-15.9%
337,"Galveston, TX",July 2019,All Residential,Place/City,False,TX,0.963189671,0.9%,0.6%,141,6.0%,21.6%,615,-0.5%,-2.8%,53,-1,-14.0,$280K,23.9%,14.3%,177,-1.7%,9.3%
338,"Baytown, TX",November 2019,All Residential,Place/City,False,TX,0.9836206540000001,1.1%,1.6%,92,-14.8%,4.5%,330,0.9%,3.1%,35,2,1.0,$202K,-0.2%,12.9%,121,-4.0%,3.4%
339,"Conroe, TX",June 2020,All Residential,Place/City,False,TX,0.9779328,-0.4%,0.4%,290,52.6%,7.8%,650,-9.5%,-20.1%,42,-1,-7.0,$265K,1.9%,3.9%,306,1.0%,3.0%
340,"League City, TX",May 2013,All Residential,Place/City,False,TX,0.9764569209999999,-0.5%,0.4%,196,19.5%,9.5%,480,1.9%,-18.2%,39,5,-32.0,$185K,-0.5%,0.0%,248,19.2%,20.4%
341,"Friendswood, TX",June 2013,All Residential,Place/City,False,TX,0.97642553,0.1%,0.7%,102,6.3%,25.9%,214,-4.0%,-24.9%,49,6,-8.0,$201K,6.2%,-2.0%,98,-6.7%,14.0%
342,"Friendswood, TX",March 2015,All Residential,Place/City,False,TX,0.974759686,0.7%,-0.8%,60,36.4%,13.2%,97,-2.0%,-40.5%,15,-30,-17.0,$209K,-15.2%,16.0%,71,16.4%,-17.4%
343,"Sugar Land, TX",June 2015,All Residential,Place/City,False,TX,0.976725602,-0.4%,-1.3%,244,24.5%,-5.1%,549,13.4%,40.8%,15,-1,4.0,$329K,1.4%,1.3%,325,5.2%,12.5%
344,"Houston, TX",February 2012,All Residential,Place/City,False,TX,0.9580501370000001,0.0%,0.4%,1653,25.1%,11.5%,10105,-0.1%,-23.5%,80,-1,-15.0,$135K,12.5%,-2.5%,2931,3.4%,-1.6%
345,"Pasadena, TX",April 2012,All Residential,Place/City,False,TX,0.96350974,-1.3%,0.4%,89,25.4%,39.1%,396,2.9%,-21.9%,57,-58,-17.0,$99K,-7.3%,-1.0%,123,-6.1%,-11.5%
346,"Missouri City, TX",November 2012,All Residential,Place/City,False,TX,0.97151879,1.2%,2.5%,113,13.0%,34.5%,460,-10.0%,-19.4%,71,14,-34.0,$185K,6.3%,8.8%,121,-17.1%,19.8%
347,"League City, TX",December 2012,All Residential,Place/City,False,TX,0.9577974020000001,-1.5%,,115,-1.7%,,482,-8.0%,,81,10,,$188K,-2.1%,,98,-25.2%,
348,"Missouri City, TX",February 2013,All Residential,Place/City,False,TX,0.9628681020000001,0.6%,-0.3%,95,-1.0%,8.0%,436,1.4%,-11.7%,81,0,-24.0,$165K,3.6%,-10.8%,173,11.6%,12.3%
349,"Sugar Land, TX",August 2013,All Residential,Place/City,False,TX,0.975963665,-0.5%,1.2%,256,-8.2%,19.6%,384,-4.2%,-38.2%,18,4,-24.0,$275K,-2.1%,24.4%,210,-30.7%,-1.4%
350,"Sugar Land, TX",December 2013,All Residential,Place/City,False,TX,0.975956038,1.0%,2.8%,200,28.2%,0.0%,300,-13.3%,-20.6%,35,7,-36.0,$308K,8.4%,8.8%,124,-21.0%,29.2%
351,"League City, TX",January 2014,All Residential,Place/City,False,TX,0.977927289,0.6%,0.6%,103,-39.4%,18.4%,401,-7.0%,-15.8%,63,2,4.0,$203K,6.8%,18.7%,146,36.4%,-5.8%
352,"Galveston, TX",March 2014,All Residential,Place/City,False,TX,0.958875125,1.1%,1.5%,82,-2.4%,10.8%,650,7.1%,4.7%,91,-41,18.0,$188K,11.3%,12.0%,189,34.0%,21.2%
353,"Missouri City, TX",April 2014,All Residential,Place/City,False,TX,0.9772917309999999,0.4%,0.8%,158,16.2%,11.3%,333,-5.9%,-22.4%,31,5,-25.0,$221K,2.2%,1.9%,180,-2.2%,-4.8%
354,"Galveston, TX",August 2014,All Residential,Place/City,False,TX,0.945432467,-0.4%,0.1%,124,0.8%,5.1%,610,-1.8%,-1.0%,80,-5,7.0,$181K,8.1%,-1.0%,124,-21.5%,-23.0%
355,"Sugar Land, TX",November 2014,All Residential,Place/City,False,TX,0.976100387,-0.2%,1.0%,139,-14.7%,-10.9%,320,-6.2%,-7.5%,28,-4,0.0,$330K,3.1%,16.3%,171,-3.9%,8.9%
356,"League City, TX",March 2015,All Residential,Place/City,False,TX,0.97742447,-0.1%,-0.3%,180,31.4%,7.1%,340,-7.6%,-12.4%,26,-22,-2.0,$234K,2.4%,17.5%,194,6.0%,6.6%
357,"Baytown, TX",April 2015,All Residential,Place/City,False,TX,0.9650221240000001,-1.2%,-0.2%,104,5.1%,6.1%,211,0.5%,-17.3%,46,-4,-7.0,$151K,-4.4%,10.3%,114,3.6%,-9.5%
358,"Sugar Land, TX",May 2015,All Residential,Place/City,False,TX,0.981072685,-0.3%,-0.6%,196,32.4%,2.6%,484,11.0%,41.5%,16,-3,2.0,$325K,2.3%,3.1%,309,7.3%,-0.3%
359,"Galveston, TX",May 2015,All Residential,Place/City,False,TX,0.950574625,-0.8%,0.2%,134,14.5%,1.5%,593,-0.2%,-9.7%,61,-20,-8.0,$176K,9.8%,-14.3%,161,5.2%,-6.9%
360,"Baytown, TX",July 2015,All Residential,Place/City,False,TX,0.9744767879999999,-0.4%,0.1%,111,0.0%,32.1%,248,9.3%,-20.0%,33,16,12.0,$157K,1.3%,10.2%,151,20.8%,11.0%
361,"Missouri City, TX",January 2016,All Residential,Place/City,False,TX,0.969431294,-0.4%,-0.9%,92,-35.7%,-3.2%,354,9.3%,20.8%,47,9,5.0,$227K,-5.2%,1.5%,170,75.3%,4.3%
362,"Conroe, TX",September 2016,All Residential,Place/City,False,TX,0.975043977,0.1%,0.7%,186,-17.7%,-8.4%,761,2.0%,7.6%,43,5,2.0,$216K,-7.6%,-1.1%,236,4.4%,6.3%
363,"Galveston, TX",September 2016,All Residential,Place/City,False,TX,0.951035884,-0.7%,-0.2%,105,-11.8%,-0.9%,613,-0.2%,3.9%,61,14,7.0,$218K,15.8%,19.4%,151,3.4%,19.8%
364,"Friendswood, TX",May 2017,All Residential,Place/City,False,TX,0.9864435970000001,0.7%,0.5%,75,13.6%,-2.6%,214,17.6%,30.5%,14,-12,-4.0,$243K,-3.2%,-6.5%,126,27.3%,41.6%
365,"Conroe, TX",September 2017,All Residential,Place/City,False,TX,0.968576305,-0.6%,-0.6%,191,-0.5%,2.7%,770,-5.8%,1.2%,47,-1,4.0,$229K,8.5%,6.3%,235,10.3%,-0.4%
366,"Pasadena, TX",November 2017,All Residential,Place/City,False,TX,0.9698878940000001,-0.3%,0.0%,79,6.8%,14.5%,149,-5.1%,-16.3%,32,8,9.0,$170K,4.1%,18.9%,76,-3.8%,-10.6%
367,"Missouri City, TX",January 2018,All Residential,Place/City,False,TX,0.957988979,-1.1%,-1.1%,89,-38.6%,1.1%,441,-5.6%,0.9%,51,-26,9.0,$228K,-5.8%,-4.1%,123,15.0%,-17.4%
368,"Houston, TX",April 2019,All Residential,Place/City,False,TX,0.9728322770000001,0.2%,0.2%,2839,8.6%,3.9%,10358,3.4%,10.9%,35,-10,7.0,$230K,1.4%,4.5%,4384,6.1%,1.5%
369,"Baytown, TX",February 2020,All Residential,Place/City,False,TX,0.9734882859999999,2.4%,-1.6%,91,28.2%,24.7%,301,-9.6%,4.5%,55,-6,5.0,$200K,7.6%,7.0%,128,-10.5%,21.9%
370,"Galveston, TX",January 2014,All Residential,Place/City,False,TX,0.939536116,-0.7%,0.9%,47,-24.2%,-13.0%,562,1.6%,0.7%,113,28,-4.0,$189K,-3.1%,45.7%,131,70.1%,-9.0%
371,"Conroe, TX",January 2015,All Residential,Place/City,False,TX,0.9779317820000001,0.5%,0.1%,102,-42.0%,9.7%,534,4.5%,34.2%,56,15,7.0,$195K,-9.1%,4.5%,200,61.3%,35.1%
372,"League City, TX",June 2015,All Residential,Place/City,False,TX,0.9866964420000001,0.1%,0.5%,199,9.9%,-6.6%,398,-0.5%,-2.2%,25,2,6.0,$238K,1.3%,10.7%,227,-9.2%,18.2%
373,"League City, TX",December 2015,All Residential,Place/City,False,TX,0.975308539,-0.2%,-0.2%,176,61.5%,-1.1%,363,-2.4%,-0.3%,36,14,-8.0,$230K,0.6%,1.6%,113,-15.0%,-15.0%
374,"Pasadena, TX",January 2016,All Residential,Place/City,False,TX,0.9743581370000001,-0.5%,-0.8%,56,-32.5%,40.0%,181,7.7%,-0.5%,42,19,4.0,$124K,-16.8%,-4.5%,100,63.9%,17.6%
375,"Friendswood, TX",February 2016,All Residential,Place/City,False,TX,0.969702445,-0.7%,0.2%,52,20.9%,18.2%,135,0.0%,36.4%,44,8,-1.0,$255K,-5.2%,3.6%,74,5.7%,21.3%
376,"Galveston, TX",February 2016,All Residential,Place/City,False,TX,0.956888995,2.1%,-0.1%,58,-3.3%,-28.4%,539,8.7%,-6.1%,59,-31,-35.0,$168K,-4.5%,-0.7%,178,27.1%,17.9%
377,"Pasadena, TX",October 2016,All Residential,Place/City,False,TX,0.976681169,0.5%,-0.9%,81,-20.6%,2.5%,185,6.9%,-4.6%,25,5,0.0,$140K,0.2%,1.5%,105,12.9%,19.3%
378,"Baytown, TX",July 2017,All Residential,Place/City,False,TX,0.981781548,0.1%,-0.4%,97,-7.6%,-5.8%,310,23.0%,18.3%,16,-7,-5.0,$190K,4.4%,12.4%,173,21.0%,49.1%
379,"Galveston, TX",October 2017,All Residential,Place/City,False,TX,0.944476509,-0.8%,0.2%,93,-31.6%,-13.9%,553,-5.1%,-8.6%,76,10,2.0,$257K,8.2%,22.4%,132,13.8%,5.6%
380,"League City, TX",November 2017,All Residential,Place/City,False,TX,0.9812291559999999,-0.3%,-0.2%,164,13.9%,10.8%,367,-13.2%,-8.3%,54,19,24.0,$260K,-4.1%,4.2%,141,-6.6%,0.0%
381,"Baytown, TX",December 2017,All Residential,Place/City,False,TX,0.9744963640000001,0.1%,0.1%,123,12.8%,48.2%,204,-13.2%,-12.8%,32,-21,-17.0,$191K,4.8%,11.2%,67,-35.0%,-13.0%
382,"Conroe, TX",August 2018,All Residential,Place/City,False,TX,0.9760782990000001,-0.3%,0.1%,233,2.6%,21.4%,851,-1.7%,4.2%,39,7,-9.0,$242K,1.5%,14.5%,259,-14.2%,21.6%
383,"Texas City, TX",February 2020,All Residential,Place/City,False,TX,0.968331996,-1.4%,-1.5%,61,41.9%,-9.0%,255,1.2%,15.9%,70,24,-7.0,$165K,-17.1%,-5.7%,80,12.7%,8.1%
384,"Missouri City, TX",July 2012,All Residential,Place/City,False,TX,0.9720425629999999,0.5%,0.9%,136,-11.1%,33.3%,557,-1.8%,-23.3%,58,4,-19.0,$200K,6.9%,16.3%,169,-7.1%,-5.6%
385,"Houston, TX",June 2013,All Residential,Place/City,False,TX,0.982590675,0.3%,1.1%,2846,-6.8%,5.6%,7057,2.1%,-29.6%,22,-3,-22.0,$180K,4.2%,13.3%,3672,-2.6%,5.6%
386,"Conroe, TX",April 2015,All Residential,Place/City,False,TX,0.9795756309999999,0.7%,0.6%,173,11.6%,17.7%,604,2.4%,50.2%,33,-7,-2.0,$200K,-8.3%,2.6%,247,2.1%,18.2%
387,"Conroe, TX",April 2012,All Residential,Place/City,False,TX,0.962529692,-0.1%,0.5%,109,-3.5%,4.8%,587,2.8%,-10.1%,70,-5,-20.0,$160K,11.3%,-2.8%,196,7.1%,17.4%
388,"Galveston, TX",June 2013,All Residential,Place/City,False,TX,0.942283923,0.1%,0.9%,104,-2.8%,13.0%,621,0.8%,5.3%,109,51,20.0,$192K,22.4%,23.6%,136,-8.7%,23.6%
389,"Friendswood, TX",November 2013,All Residential,Place/City,False,TX,0.982440656,1.8%,3.0%,50,-26.5%,-16.7%,169,-5.6%,-28.7%,45,-4,-29.0,$174K,-19.9%,6.9%,54,-1.8%,20.0%
390,"Baytown, TX",December 2013,All Residential,Place/City,False,TX,0.981780619,1.5%,2.3%,71,24.6%,16.4%,289,-11.3%,-23.9%,96,54,-6.0,$130K,-3.7%,8.3%,60,25.0%,0.0%
391,"Missouri City, TX",May 2014,All Residential,Place/City,False,TX,0.975927233,-0.1%,0.4%,162,2.5%,-7.4%,349,4.8%,-22.4%,32,1,-9.0,$236K,6.6%,17.3%,216,20.0%,-11.8%
392,"Pasadena, TX",September 2014,All Residential,Place/City,False,TX,0.96573428,-0.8%,-0.4%,81,-19.0%,1.3%,208,-7.1%,-30.7%,22,3,-32.0,$120K,-6.6%,8.4%,85,-8.6%,-12.4%
393,"League City, TX",September 2014,All Residential,Place/City,False,TX,0.973479367,-0.8%,-0.4%,184,-18.6%,17.9%,432,-5.1%,-13.1%,28,3,-14.0,$213K,-3.2%,10.8%,168,-23.6%,-8.7%
394,"Galveston, TX",December 2014,All Residential,Place/City,False,TX,0.945772485,0.0%,-0.1%,80,-7.0%,29.0%,510,-7.6%,-7.8%,128,48,43.0,$167K,-10.0%,-14.6%,62,-25.3%,-19.5%
395,"League City, TX",May 2017,All Residential,Place/City,False,TX,0.986108056,0.2%,0.0%,214,39.9%,-5.3%,390,-2.7%,9.6%,23,3,8.0,$255K,-3.0%,5.8%,257,8.9%,20.7%
396,"Missouri City, TX",November 2018,All Residential,Place/City,False,TX,0.9733679270000001,-0.3%,0.8%,121,-12.9%,0.8%,601,-1.6%,16.5%,44,8,-15.0,$230K,-0.2%,-4.4%,151,-17.9%,12.7%
397,"Houston, TX",August 2012,All Residential,Place/City,False,TX,0.969732184,0.0%,0.9%,2751,4.2%,19.0%,9367,-4.6%,-22.6%,46,0,-24.0,$153K,-1.6%,7.1%,2964,-6.0%,-1.1%
398,"Houston, TX",December 2012,All Residential,Place/City,False,TX,0.968061563,0.1%,0.9%,2234,3.5%,13.5%,7213,-8.6%,-29.1%,56,3,-22.0,$165K,7.7%,10.1%,1823,-20.0%,-2.7%
399,"Houston, TX",March 2014,All Residential,Place/City,False,TX,0.980279951,0.5%,0.7%,2537,21.0%,-0.5%,5698,-1.9%,-16.4%,26,-10,-13.0,$179K,5.0%,10.5%,3275,16.5%,-3.7%
400,"Pasadena, TX",May 2014,All Residential,Place/City,False,TX,0.974158011,-0.7%,0.3%,91,-11.7%,5.8%,218,6.9%,-26.6%,56,22,-5.0,$124K,3.4%,-3.3%,116,28.9%,-11.5%
401,"Houston, TX",September 2014,All Residential,Place/City,False,TX,0.9801161540000001,-0.3%,0.1%,2654,-6.6%,5.4%,6544,-2.9%,-9.8%,23,4,-5.0,$180K,-3.3%,5.2%,2917,-15.2%,-1.9%
402,"Pasadena, TX",October 2014,All Residential,Place/City,False,TX,0.978773399,1.3%,0.8%,95,17.3%,13.1%,201,-3.4%,-33.0%,32,10,-8.0,$115K,-4.2%,1.4%,96,12.9%,1.1%
403,"Galveston, TX",July 2015,All Residential,Place/City,False,TX,0.948179792,-1.7%,-0.1%,117,-7.9%,-4.9%,563,0.9%,-9.3%,72,7,-13.0,$168K,6.1%,0.5%,151,10.2%,-4.4%
404,"Friendswood, TX",August 2015,All Residential,Place/City,False,TX,0.985152438,-0.6%,0.2%,68,-20.9%,-19.0%,149,-3.9%,-14.9%,11,-3,-14.0,$232K,2.4%,-5.4%,77,-25.2%,-2.5%
405,"Conroe, TX",November 2015,All Residential,Place/City,False,TX,0.980232917,1.2%,0.8%,119,-24.2%,-13.1%,696,-5.9%,28.9%,49,-3,3.0,$216K,-1.6%,15.5%,152,-30.3%,-10.1%
406,"Texas City, TX",February 2016,All Residential,Place/City,False,TX,0.948891706,-1.5%,0.0%,42,13.5%,23.5%,88,-22.1%,-31.3%,39,7,-32.0,$120K,-3.2%,12.1%,38,-29.6%,-25.5%
407,"Houston, TX",April 2016,All Residential,Place/City,False,TX,0.97176758,0.2%,-0.5%,2499,2.4%,-4.4%,9026,0.8%,25.5%,28,-6,5.0,$205K,1.5%,10.8%,3655,-7.3%,-1.7%
408,"Houston, TX",December 2016,All Residential,Place/City,False,TX,0.96775183,-0.2%,-0.1%,2702,18.0%,9.3%,8060,-8.5%,2.1%,45,6,7.0,$215K,4.3%,7.5%,1963,-21.9%,-4.4%
409,"Galveston, TX",December 2016,All Residential,Place/City,False,TX,0.958465681,0.2%,1.0%,85,25.0%,6.3%,537,-9.6%,10.0%,56,-6,-10.0,$200K,-16.1%,15.4%,69,-38.4%,-16.9%
410,"Conroe, TX",May 2017,All Residential,Place/City,False,TX,0.98046156,0.6%,1.0%,245,29.6%,20.7%,807,0.5%,7.7%,42,-4,-1.0,$229K,4.1%,-0.4%,305,-2.6%,38.0%
411,"Pasadena, TX",June 2017,All Residential,Place/City,False,TX,0.96905189,-0.6%,-1.6%,102,-2.9%,-3.8%,162,5.2%,0.6%,14,0,-6.0,$151K,-0.5%,0.8%,136,27.1%,19.3%
412,"Friendswood, TX",October 2017,All Residential,Place/City,False,TX,0.9748557090000001,-0.5%,-0.6%,71,-5.3%,29.1%,169,-11.1%,-4.5%,39,10,18.0,$270K,-1.8%,17.9%,76,15.2%,33.3%
413,"Pasadena, TX",January 2018,All Residential,Place/City,False,TX,0.968147731,-1.3%,0.1%,51,-35.4%,-1.9%,122,-5.4%,-25.6%,18,-3,-32.0,$157K,-1.9%,16.3%,68,44.7%,-19.0%
414,"Galveston, TX",July 2018,All Residential,Place/City,False,TX,0.956702734,-0.9%,0.3%,116,-25.6%,1.8%,633,-2.2%,0.2%,67,31,10.0,$245K,1.1%,40.4%,162,-16.1%,-13.8%
415,"Pasadena, TX",August 2018,All Residential,Place/City,False,TX,0.981737251,0.1%,1.3%,95,0.0%,41.8%,206,9.6%,11.4%,15,1,-1.0,$173K,-1.7%,8.1%,139,31.1%,52.7%
416,"Friendswood, TX",August 2019,All Residential,Place/City,False,TX,0.9745815170000001,-1.0%,0.1%,94,4.4%,28.8%,183,-15.7%,-33.5%,28,10,3.0,$270K,0.2%,-5.2%,71,-33.0%,-34.3%
417,"Pasadena, TX",June 2020,All Residential,Place/City,False,TX,0.982641373,1.0%,0.5%,108,40.3%,31.7%,165,-13.2%,-17.5%,34,2,15.0,$181K,-9.7%,3.3%,103,-1.9%,-13.4%
418,"Sugar Land, TX",June 2020,All Residential,Place/City,False,TX,0.9677713929999999,0.3%,0.2%,189,78.3%,6.2%,591,-8.7%,-28.0%,40,0,5.0,$320K,-3.0%,-4.8%,238,-9.8%,-16.5%
419,"Texas City, TX",April 2012,All Residential,Place/City,False,TX,0.9297748379999999,-5.4%,24.4%,24,-14.3%,2300.0%,229,6.5%,34.7%,70,3,-186.0,$69K,-9.2%,90.7%,59,15.7%,73.5%
420,"Missouri City, TX",June 2012,All Residential,Place/City,False,TX,0.966970082,-0.5%,0.8%,153,33.0%,28.6%,567,4.6%,-19.9%,54,3,-32.0,$187K,2.2%,6.9%,182,9.0%,7.7%
421,"Conroe, TX",August 2012,All Residential,Place/City,False,TX,0.971726109,0.5%,0.9%,146,-2.7%,21.7%,582,-4.0%,-7.9%,52,-12,-19.0,$170K,6.2%,11.4%,167,-10.2%,21.0%
422,"Galveston, TX",April 2013,All Residential,Place/City,False,TX,0.944408125,0.1%,-0.4%,105,41.9%,31.3%,613,-1.3%,-2.5%,66,-7,4.0,$195K,16.5%,34.5%,150,-3.8%,2.0%
423,"Galveston, TX",April 2014,All Residential,Place/City,False,TX,0.9504757840000001,-0.8%,0.6%,112,36.6%,6.7%,669,2.9%,9.1%,64,-27,-2.0,$166K,-11.2%,-14.6%,175,-7.4%,16.7%
424,"Pasadena, TX",January 2015,All Residential,Place/City,False,TX,0.982814814,0.8%,2.8%,40,-57.4%,-33.3%,182,6.4%,-29.5%,38,3,-35.0,$130K,0.5%,13.9%,85,41.7%,-7.6%
425,"Missouri City, TX",June 2015,All Residential,Place/City,False,TX,0.988459381,0.5%,0.6%,188,30.6%,6.2%,357,13.0%,-6.1%,14,-6,-5.0,$237K,-3.0%,-5.1%,202,-7.8%,-5.2%
426,"Galveston, TX",March 2016,All Residential,Place/City,False,TX,0.94422231,-1.3%,-1.5%,112,93.1%,24.4%,590,9.5%,-0.5%,59,0,15.0,$176K,5.0%,1.9%,225,26.4%,25.0%
427,"Houston, TX",August 2016,All Residential,Place/City,False,TX,0.972102073,-0.2%,-0.6%,2987,9.8%,9.2%,9596,-1.2%,12.5%,30,1,5.0,$210K,-2.3%,7.1%,3462,-8.2%,-2.0%
428,"Conroe, TX",February 2017,All Residential,Place/City,False,TX,0.974089027,0.8%,0.5%,165,58.7%,25.0%,711,3.3%,-0.4%,78,12,9.0,$222K,2.8%,6.0%,251,23.0%,5.9%
429,"Pasadena, TX",December 2017,All Residential,Place/City,False,TX,0.9815120540000001,1.2%,0.7%,79,0.0%,-14.1%,129,-13.4%,-23.7%,21,-11,-12.0,$160K,-5.9%,-2.4%,47,-38.2%,-25.4%
