Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Sugar Land, TX",Jul-15,All Residential,Place/City,FALSE,TX,0.977618866,0.10%,-0.70%,239,-2.00%,11.70%,610,11.10%,45.60%,18,3,5,$315K,-4.30%,-1.40%,336,3.40%,22.60%
"Pasadena, TX",Oct-15,All Residential,Place/City,FALSE,TX,0.985272603,-0.20%,0.60%,79,-12.20%,-16.80%,194,-4.40%,-3.50%,25,8,-7,$138K,-6.50%,19.90%,88,-17.00%,-8.30%
"Pasadena, TX",Dec-15,All Residential,Place/City,FALSE,TX,0.979467184,-0.10%,0.50%,83,38.30%,-11.70%,168,-13.00%,-1.80%,23,1,-12,$149K,24.40%,15.30%,61,-21.80%,1.70%
"Baytown, TX",Jan-16,All Residential,Place/City,FALSE,TX,0.965554994,-0.20%,-0.70%,78,0.00%,8.30%,261,3.60%,7.00%,73,39,26,$143K,-6.60%,10.20%,103,37.30%,2.00%
"League City, TX",May-16,All Residential,Place/City,FALSE,TX,0.986567075,0.00%,0.10%,226,32.20%,24.90%,356,-4.30%,-11.00%,15,-2,-8,$241K,0.40%,2.60%,213,-8.20%,-14.80%
"Baytown, TX",Oct-17,All Residential,Place/City,FALSE,TX,0.975118078,-0.50%,-0.10%,124,39.30%,33.30%,252,-9.70%,-2.30%,35,19,10,$169K,-1.90%,-3.20%,131,31.00%,29.70%
"Sugar Land, TX",Mar-18,All Residential,Place/City,FALSE,TX,0.966046554,-0.50%,-0.30%,170,45.30%,5.60%,656,8.60%,11.80%,71,-5,49,$323K,2.50%,0.70%,307,66.80%,3.40%
"League City, TX",Apr-18,All Residential,Place/City,FALSE,TX,0.980798557,-0.50%,-0.40%,176,2.90%,15.00%,375,16.50%,-6.50%,20,-11,0,$259K,-5.70%,-1.30%,273,32.50%,15.70%
"Missouri City, TX",Jun-18,All Residential,Place/City,FALSE,TX,0.979504891,0.60%,0.60%,152,-15.60%,-16.90%,590,10.10%,-1.50%,28,-9,1,$251K,-6.00%,-1.70%,235,-2.10%,-6.70%
"Friendswood, TX",Apr-19,All Residential,Place/City,FALSE,TX,0.984704932,1.70%,0.70%,71,-5.30%,-32.40%,212,-2.30%,21.10%,30,-15,10,$268K,-7.80%,-6.10%,112,5.70%,1.80%
"Baytown, TX",Sep-19,All Residential,Place/City,FALSE,TX,0.969467147,-0.70%,-0.80%,100,-17.40%,5.30%,324,-1.80%,1.30%,32,1,-1,$194K,-2.70%,6.00%,116,-23.20%,-1.70%
"Sugar Land, TX",Mar-20,All Residential,Place/City,FALSE,TX,0.963523211,-0.40%,0.30%,157,24.60%,2.60%,631,7.30%,-11.60%,90,-8,21,$315K,6.30%,-1.60%,246,30.90%,-18.50%
"Galveston, TX",May-20,All Residential,Place/City,FALSE,TX,0.946226167,-1.50%,-1.40%,120,66.70%,-21.60%,529,-12.00%,-13.60%,51,26,5,$218K,-5.10%,-1.10%,186,61.70%,1.60%
"Houston, TX",Jun-20,All Residential,Place/City,FALSE,TX,0.973421908,0.10%,-0.30%,2905,38.90%,-3.30%,9201,-5.50%,-17.30%,43,3,15,$249K,9.00%,2.30%,3868,6.00%,-5.90%
"Galveston, TX",Mar-12,All Residential,Place/City,FALSE,TX,0.907773804,0.10%,6.30%,58,5.50%,5700.00%,629,7.30%,19.80%,80,-10,-515,$135K,-19.60%,23.90%,170,10.40%,71.70%
"Galveston, TX",Jun-12,All Residential,Place/City,FALSE,TX,0.933597731,-0.30%,-3.20%,92,-5.20%,4500.00%,590,-5.30%,10.10%,89,12,46,$156K,12.30%,11.40%,110,-15.40%,34.10%
"Missouri City, TX",Oct-12,All Residential,Place/City,FALSE,TX,0.959616188,-1.40%,-0.10%,100,-1.00%,-9.10%,511,-4.80%,-16.60%,57,4,-21,$174K,2.40%,0.00%,146,15.90%,20.70%
"Baytown, TX",Feb-13,All Residential,Place/City,FALSE,TX,0.944300783,-2.40%,-1.80%,68,21.40%,15.30%,349,-2.00%,-11.00%,87,-2,-2,$89K,-25.70%,-10.20%,81,0.00%,-12.00%
"Missouri City, TX",May-13,All Residential,Place/City,FALSE,TX,0.971581032,0.30%,0.00%,175,23.20%,52.20%,450,4.90%,-17.00%,41,-15,-10,$201K,-7.40%,9.80%,245,29.60%,46.70%
"Pasadena, TX",Jul-13,All Residential,Place/City,FALSE,TX,0.984161912,0.80%,3.10%,91,-2.20%,23.00%,285,-1.70%,-26.40%,40,-1,-21,$121K,8.60%,26.80%,109,11.20%,3.80%
"Galveston, TX",Feb-14,All Residential,Place/City,FALSE,TX,0.948109629,0.90%,0.30%,84,78.70%,37.70%,607,8.00%,1.20%,132,19,34,$169K,-10.80%,4.00%,141,7.60%,0.70%
"Baytown, TX",May-15,All Residential,Place/City,FALSE,TX,0.979642476,1.50%,-0.70%,79,-24.00%,-25.50%,219,3.80%,-12.70%,31,-15,-11,$150K,-1.00%,10.70%,122,7.00%,8.90%
"Baytown, TX",Mar-16,All Residential,Place/City,FALSE,TX,0.982145845,1.70%,0.50%,118,55.30%,19.20%,260,4.40%,23.80%,44,-4,-6,$162K,6.80%,2.40%,130,9.20%,18.20%
"Sugar Land, TX",Oct-16,All Residential,Place/City,FALSE,TX,0.966893354,-0.20%,0.10%,146,-9.90%,-12.60%,630,-6.40%,13.10%,43,6,1,$310K,8.30%,-4.80%,171,-3.40%,-17.00%
"Sugar Land, TX",Jul-12,All Residential,Place/City,FALSE,TX,0.96565026,0.10%,1.00%,211,-7.50%,25.60%,648,2.20%,-22.50%,35,-10,-21,$250K,5.10%,5.80%,264,-7.40%,21.70%
"Baytown, TX",Jan-13,All Residential,Place/City,FALSE,TX,0.968577879,1.00%,-0.80%,56,-8.20%,21.70%,356,-6.30%,-8.50%,89,-13,5,$119K,-0.80%,10.90%,81,35.00%,-4.70%
"Galveston, TX",Jan-13,All Residential,Place/City,FALSE,TX,0.930368353,-0.80%,0.50%,54,-22.90%,54.30%,558,6.10%,0.70%,117,20,10,$130K,-18.40%,21.30%,144,77.80%,12.50%
"Texas City, TX",Apr-14,All Residential,Place/City,FALSE,TX,0.959977292,1.30%,3.20%,41,10.80%,32.30%,151,-6.80%,-23.70%,76,-55,-7,$93K,6.30%,21.70%,46,-11.50%,-20.70%
"Pasadena, TX",Jun-14,All Residential,Place/City,FALSE,TX,0.973144149,-0.10%,-0.30%,100,9.90%,7.50%,231,6.00%,-20.30%,28,-28,-13,$127K,2.60%,14.60%,116,0.00%,18.40%
"Friendswood, TX",Jun-15,All Residential,Place/City,FALSE,TX,0.987555339,0.70%,0.70%,84,29.20%,-5.60%,131,4.80%,-23.80%,7,-5,-7,$226K,14.50%,-5.50%,99,7.60%,-12.40%
"Galveston, TX",Jun-15,All Residential,Place/City,FALSE,TX,0.964963812,1.40%,2.20%,127,-5.20%,0.00%,558,-5.90%,-11.00%,65,4,-4,$159K,-9.70%,-6.70%,137,-14.90%,-8.70%
"Baytown, TX",Feb-16,All Residential,Place/City,FALSE,TX,0.964988732,-0.10%,-1.40%,76,-2.60%,10.10%,249,-4.60%,8.70%,48,-25,-29,$151K,5.80%,-2.30%,119,15.50%,30.80%
"Houston, TX",Mar-16,All Residential,Place/City,FALSE,TX,0.970217804,0.10%,-0.70%,2441,30.40%,2.00%,8951,4.20%,29.30%,34,-15,11,$202K,10.40%,4.40%,3941,11.90%,13.80%
"Missouri City, TX",May-16,All Residential,Place/City,FALSE,TX,0.972958965,-0.40%,-1.00%,131,-4.40%,-9.00%,429,5.10%,35.80%,32,6,12,$250K,-3.80%,2.10%,201,16.20%,-8.20%
"Friendswood, TX",Aug-16,All Residential,Place/City,FALSE,TX,0.980332985,-0.80%,-0.50%,89,14.10%,30.90%,194,-3.00%,30.20%,14,3,3,$238K,-9.10%,2.60%,85,-19.80%,10.40%
"Galveston, TX",Oct-16,All Residential,Place/City,FALSE,TX,0.942611179,-0.80%,-2.20%,108,2.90%,9.10%,605,-1.30%,5.60%,74,13,2,$210K,-3.80%,16.70%,125,-17.20%,-5.30%
"Friendswood, TX",Apr-17,All Residential,Place/City,FALSE,TX,0.979298381,0.10%,-0.20%,66,-13.20%,-10.80%,182,16.70%,10.30%,26,10,2,$251K,5.80%,-25.00%,99,6.50%,3.10%
"Sugar Land, TX",Nov-17,All Residential,Place/City,FALSE,TX,0.958052069,-1.00%,-1.00%,164,7.90%,20.60%,723,-4.20%,25.50%,74,29,20,$322K,3.70%,15.10%,157,-22.30%,12.90%
"Baytown, TX",Feb-18,All Residential,Place/City,FALSE,TX,0.96151933,-0.50%,-1.40%,83,5.10%,-1.20%,228,7.50%,6.00%,29,-9,-24,$180K,-0.90%,8.20%,118,8.30%,9.30%
"Galveston, TX",Feb-18,All Residential,Place/City,FALSE,TX,0.959777801,1.70%,0.90%,96,50.00%,18.50%,568,4.60%,-8.20%,67,-36,-30,$220K,22.10%,2.20%,168,15.10%,-0.60%
"League City, TX",May-18,All Residential,Place/City,FALSE,TX,0.981895286,0.10%,-0.40%,211,19.90%,-1.40%,442,17.90%,13.30%,14,-6,-9,$265K,2.10%,3.90%,289,5.90%,12.50%
"Galveston, TX",Jan-19,All Residential,Place/City,FALSE,TX,0.966807519,0.90%,2.40%,69,-15.90%,7.80%,520,3.40%,-4.20%,71,-5,-32,$211K,5.10%,17.20%,153,71.90%,4.80%
"Missouri City, TX",Mar-19,All Residential,Place/City,FALSE,TX,0.97126001,0.50%,0.20%,140,21.70%,8.50%,570,4.00%,21.00%,62,-11,-3,$255K,10.50%,-1.20%,225,37.20%,4.70%
"Baytown, TX",Jul-19,All Residential,Place/City,FALSE,TX,0.979839814,0.00%,0.20%,120,36.40%,5.30%,322,0.30%,-3.90%,21,-13,-4,$199K,-5.00%,-0.70%,147,-13.00%,-9.30%
"Houston, TX",Jul-19,All Residential,Place/City,FALSE,TX,0.973300159,-0.30%,0.00%,3136,4.40%,8.00%,11294,1.50%,7.20%,30,2,1,$230K,-5.30%,0.90%,4074,-0.90%,-1.20%
"Pasadena, TX",Sep-19,All Residential,Place/City,FALSE,TX,0.974173909,1.10%,-0.90%,83,-23.10%,-2.40%,209,-1.90%,-4.60%,18,1,0,$166K,-1.20%,0.60%,100,-25.90%,-8.30%
"Baytown, TX",Jan-20,All Residential,Place/City,FALSE,TX,0.949120631,-3.30%,-0.80%,71,-34.30%,-1.40%,333,8.10%,12.50%,61,16,8,$186K,-8.70%,13.50%,143,74.40%,17.20%
"Missouri City, TX",Jan-13,All Residential,Place/City,FALSE,TX,0.956753298,-0.10%,0.70%,96,-29.40%,26.30%,430,-0.90%,-15.00%,81,-9,-26,$159K,-15.70%,-7.30%,155,43.50%,14.00%
"Houston, TX",Jul-13,All Residential,Place/City,FALSE,TX,0.981193743,-0.10%,1.10%,3082,8.30%,16.70%,7186,1.80%,-26.80%,22,0,-24,$180K,-0.20%,15.90%,3723,1.40%,18.10%
"Friendswood, TX",Dec-13,All Residential,Place/City,FALSE,TX,0.970887972,-1.20%,2.50%,69,38.00%,21.10%,158,-6.50%,-22.90%,47,2,-43,$217K,24.30%,31.20%,47,-13.00%,27.00%
"League City, TX",Mar-14,All Residential,Place/City,FALSE,TX,0.980149612,0.90%,1.00%,168,15.90%,2.40%,388,-6.10%,-19.30%,28,-25,-34,$199K,-5.40%,6.80%,182,-7.60%,-13.70%
"Friendswood, TX",Jul-14,All Residential,Place/City,FALSE,TX,0.976465866,-0.40%,0.20%,89,0.00%,-21.20%,167,-2.90%,-9.70%,10,-4,-18,$236K,-1.20%,3.60%,89,-21.20%,-3.30%
"League City, TX",Dec-14,All Residential,Place/City,FALSE,TX,0.97734426,-0.30%,0.60%,178,17.10%,4.70%,364,-8.10%,-15.50%,44,-2,-17,$227K,8.10%,19.30%,133,-2.20%,24.30%
"Friendswood, TX",Jan-15,All Residential,Place/City,FALSE,TX,0.967870865,-0.50%,-0.20%,46,-36.10%,4.50%,106,-3.60%,-29.30%,29,4,-10,$175K,-16.50%,-4.10%,61,52.50%,-9.00%
"Galveston, TX",Aug-15,All Residential,Place/City,FALSE,TX,0.946039924,-0.20%,0.10%,113,-3.40%,-8.90%,631,12.10%,3.40%,65,-7,-15,$173K,2.70%,-4.50%,236,56.30%,90.30%
"Friendswood, TX",Dec-15,All Residential,Place/City,FALSE,TX,0.969829072,-1.40%,-0.30%,51,18.60%,-29.20%,134,-6.90%,21.80%,31,9,6,$217K,8.30%,3.30%,50,13.60%,25.00%
"Sugar Land, TX",Dec-16,All Residential,Place/City,FALSE,TX,0.966901149,-0.10%,0.40%,177,30.10%,3.50%,520,-9.70%,3.20%,55,1,1,$323K,15.50%,2.40%,110,-20.90%,-4.30%
"Houston, TX",May-17,All Residential,Place/City,FALSE,TX,0.975120984,0.20%,0.20%,3141,19.40%,12.80%,10070,6.00%,8.80%,25,-5,-3,$212K,-0.90%,-0.70%,4400,7.90%,15.80%
"Houston, TX",Sep-17,All Residential,Place/City,FALSE,TX,0.968764227,-0.30%,-0.20%,2568,15.70%,2.20%,9672,-10.00%,1.50%,39,7,6,$212K,-0.80%,3.30%,2755,-13.40%,-13.90%
"League City, TX",Oct-17,All Residential,Place/City,FALSE,TX,0.983878732,0.50%,-0.20%,144,-21.70%,-12.70%,423,-8.00%,1.20%,35,4,11,$271K,4.60%,8.40%,151,-3.80%,3.40%
"Sugar Land, TX",Dec-17,All Residential,Place/City,FALSE,TX,0.9641282,0.60%,-0.30%,155,-5.50%,-12.40%,635,-12.20%,22.10%,73,-1,18,$285K,-11.40%,-11.60%,111,-29.30%,0.90%
"Houston, TX",Mar-19,All Residential,Place/City,FALSE,TX,0.970642733,0.20%,0.20%,2615,30.10%,-3.30%,10019,3.90%,14.10%,45,-4,8,$227K,8.00%,4.30%,4132,22.50%,0.10%
"Baytown, TX",Apr-19,All Residential,Place/City,FALSE,TX,0.980098337,-0.30%,0.70%,108,3.80%,-2.70%,252,-4.50%,-1.60%,34,6,8,$192K,-2.60%,-3.50%,110,-12.70%,-22.50%
"Friendswood, TX",May-12,All Residential,Place/City,FALSE,TX,0.963652581,0.50%,-0.90%,83,40.70%,232.00%,293,-1.70%,4.60%,125,21,64,$220K,39.60%,54.10%,103,-1.90%,66.10%
"Galveston, TX",Oct-12,All Residential,Place/City,FALSE,TX,0.941076488,0.90%,4.50%,71,44.90%,3450.00%,551,-1.30%,-0.50%,57,-30,-86,$152K,-9.30%,195.90%,103,17.00%,9.60%
"Missouri City, TX",Mar-13,All Residential,Place/City,FALSE,TX,0.962108617,-0.10%,0.80%,145,52.60%,21.80%,449,3.00%,-11.80%,65,-16,-14,$180K,9.20%,4.10%,195,12.70%,1.00%
"Missouri City, TX",Jun-13,All Residential,Place/City,FALSE,TX,0.983326591,1.20%,1.60%,185,5.70%,20.90%,438,-2.70%,-22.80%,31,-10,-23,$219K,9.00%,17.10%,188,-23.30%,3.30%
"Houston, TX",Aug-13,All Residential,Place/City,FALSE,TX,0.981668208,0.00%,1.20%,3004,-2.50%,9.20%,7197,0.20%,-23.20%,23,1,-23,$179K,-0.40%,17.40%,3419,-8.20%,15.40%
"Pasadena, TX",Aug-13,All Residential,Place/City,FALSE,TX,0.972510216,-1.20%,1.60%,96,5.50%,20.00%,285,0.00%,-22.30%,54,14,-2,$108K,-10.40%,6.90%,108,-0.90%,12.50%
"Baytown, TX",Jan-14,All Residential,Place/City,FALSE,TX,0.955570433,-2.60%,-1.30%,57,-19.70%,1.80%,280,-3.10%,-21.30%,74,-22,-15,$118K,-9.20%,-0.90%,91,51.70%,12.30%
"League City, TX",Feb-14,All Residential,Place/City,FALSE,TX,0.97074173,-0.70%,0.60%,145,40.80%,33.00%,413,3.00%,-13.20%,53,-10,-17,$210K,3.40%,3.90%,197,34.90%,2.10%
"Sugar Land, TX",May-14,All Residential,Place/City,FALSE,TX,0.986693766,1.40%,1.90%,191,-5.40%,-31.50%,342,13.60%,-7.60%,14,-3,-8,$315K,3.30%,-1.10%,310,21.10%,-4.00%
"Baytown, TX",May-14,All Residential,Place/City,FALSE,TX,0.986174532,2.00%,1.20%,106,8.20%,0.00%,251,-1.60%,-30.30%,42,-11,-26,$135K,-1.40%,12.50%,112,-11.10%,-17.00%
"Houston, TX",Jan-15,All Residential,Place/City,FALSE,TX,0.978136364,-0.10%,0.50%,1618,-39.30%,-8.00%,6565,9.90%,10.40%,33,5,-9,$170K,-12.30%,7.90%,3210,50.80%,12.00%
"Sugar Land, TX",Feb-15,All Residential,Place/City,FALSE,TX,0.973446117,-0.90%,0.30%,116,4.50%,-10.10%,394,11.90%,30.50%,26,8,-3,$305K,2.50%,8.90%,213,14.50%,15.10%
"Houston, TX",Feb-15,All Residential,Place/City,FALSE,TX,0.975918496,-0.20%,0.10%,1839,13.70%,-12.30%,6838,4.20%,17.80%,27,-6,-9,$177K,4.20%,4.10%,3165,-1.40%,12.60%
"League City, TX",Jun-16,All Residential,Place/City,FALSE,TX,0.989606105,0.30%,0.30%,218,-3.50%,9.50%,404,13.50%,1.50%,27,12,2,$245K,1.70%,2.90%,267,25.40%,17.60%
"Baytown, TX",Jul-16,All Residential,Place/City,FALSE,TX,0.986064078,0.80%,1.20%,103,-1.90%,-7.20%,262,-1.50%,5.60%,21,-6,-12,$169K,1.20%,7.60%,116,-21.10%,-23.20%
"League City, TX",Aug-16,All Residential,Place/City,FALSE,TX,0.989457037,0.00%,0.70%,228,13.40%,12.30%,432,7.20%,6.70%,18,5,2,$241K,-1.10%,3.80%,227,0.40%,11.30%
"Sugar Land, TX",Sep-16,All Residential,Place/City,FALSE,TX,0.969302454,-0.50%,-0.30%,162,-22.10%,-12.90%,673,-4.80%,21.70%,37,9,2,$286K,-6.50%,-14.30%,177,-18.80%,-16.10%
"Baytown, TX",Nov-16,All Residential,Place/City,FALSE,TX,0.972438712,-0.30%,-0.40%,82,-11.80%,10.80%,247,-4.30%,-10.20%,36,11,3,$173K,-0.90%,15.50%,85,-15.80%,3.70%
"Pasadena, TX",May-17,All Residential,Place/City,FALSE,TX,0.974919667,0.20%,-0.30%,105,34.60%,10.50%,154,-3.80%,12.40%,14,-7,-3,$152K,4.10%,-2.30%,107,1.90%,-1.80%
"Baytown, TX",Nov-17,All Residential,Place/City,FALSE,TX,0.973392574,-0.20%,0.10%,109,-12.10%,32.90%,235,-6.70%,-4.90%,53,18,17,$183K,7.80%,5.30%,103,-21.40%,21.20%
"Missouri City, TX",Dec-17,All Residential,Place/City,FALSE,TX,0.968627005,0.30%,-0.90%,145,20.80%,2.80%,467,-9.50%,7.40%,77,18,23,$242K,0.80%,0.80%,107,-20.10%,-3.60%
"Baytown, TX",Apr-18,All Residential,Place/City,FALSE,TX,0.972771659,-1.00%,-0.80%,111,20.70%,27.60%,256,4.90%,13.30%,26,5,0,$199K,9.00%,17.10%,142,-2.70%,21.40%
"Pasadena, TX",Oct-18,All Residential,Place/City,FALSE,TX,0.968942628,-1.40%,-0.40%,86,1.20%,16.20%,220,0.50%,40.10%,18,0,-6,$154K,-6.40%,-5.40%,99,-9.20%,25.30%
"Galveston, TX",Oct-18,All Residential,Place/City,FALSE,TX,0.949389713,-0.70%,0.50%,109,-5.20%,17.20%,578,-1.40%,4.50%,79,32,3,$265K,21.80%,3.10%,142,27.90%,7.60%
"Baytown, TX",Nov-18,All Residential,Place/City,FALSE,TX,0.968004767,0.20%,-0.50%,88,-5.40%,-19.30%,320,5.60%,36.20%,34,-3,-19,$179K,-3.30%,-1.90%,117,4.50%,13.60%
"Houston, TX",Dec-18,All Residential,Place/City,FALSE,TX,0.969485569,0.00%,0.40%,2498,2.40%,-6.60%,9249,-7.50%,12.40%,51,7,7,$218K,0.00%,0.40%,2164,-21.70%,1.70%
"League City, TX",Jul-19,All Residential,Place/City,FALSE,TX,0.983650145,-0.10%,-0.20%,221,8.30%,16.90%,516,4.70%,-8.20%,26,-1,7,$285K,5.20%,4.70%,289,20.90%,7.40%
"Friendswood, TX",Sep-19,All Residential,Place/City,FALSE,TX,0.973906626,-0.10%,-0.80%,79,-16.00%,-1.30%,175,-4.40%,-34.00%,46,18,11,$306K,13.30%,18.90%,65,-8.50%,-4.40%
"Houston, TX",Mar-20,All Residential,Place/City,FALSE,TX,0.973107304,0.40%,0.20%,2633,20.10%,0.70%,10071,3.20%,0.50%,45,-10,0,$240K,2.80%,5.80%,3765,2.30%,-8.90%
"Baytown, TX",Jul-20,All Residential,Place/City,FALSE,TX,0.986316731,0.80%,0.60%,151,25.80%,25.80%,304,-3.20%,-5.60%,23,-16,2,$210K,-2.80%,5.80%,196,24.10%,33.30%
"Missouri City, TX",May-12,All Residential,Place/City,FALSE,TX,0.971523295,0.60%,0.60%,115,0.00%,3.60%,542,-2.30%,-24.50%,51,-4,-31,$183K,5.90%,12.30%,167,-16.90%,-8.70%
"Baytown, TX",Aug-12,All Residential,Place/City,FALSE,TX,0.968170288,-1.30%,1.00%,87,6.10%,42.60%,425,-3.00%,-13.80%,67,-2,-30,$115K,-4.20%,9.40%,97,-11.80%,-14.90%
"Texas City, TX",Apr-13,All Residential,Place/City,FALSE,TX,0.927478708,-2.00%,-0.20%,31,-6.10%,29.20%,198,1.00%,-13.50%,83,9,13,$76K,5.60%,10.70%,58,16.00%,-1.70%
"Houston, TX",Sep-13,All Residential,Place/City,FALSE,TX,0.97931929,-0.20%,1.20%,2518,-16.20%,16.90%,7254,0.80%,-18.10%,28,5,-20,$171K,-4.50%,14.80%,2973,-13.00%,16.80%
"League City, TX",Oct-13,All Residential,Place/City,FALSE,TX,0.975219035,-0.30%,0.00%,169,8.30%,17.40%,493,-0.80%,-7.30%,43,1,-19,$191K,-0.30%,2.60%,181,-1.60%,5.20%
"Pasadena, TX",Oct-13,All Residential,Place/City,FALSE,TX,0.970761189,0.10%,1.80%,84,5.00%,10.50%,300,0.00%,-13.00%,40,-14,-27,$113K,2.40%,11.70%,95,-2.10%,3.30%
"Baytown, TX",Apr-14,All Residential,Place/City,FALSE,TX,0.966627902,-0.90%,0.60%,98,22.50%,48.50%,255,-1.90%,-21.80%,53,1,-93,$137K,20.70%,17.90%,126,12.50%,22.30%
"Pasadena, TX",Nov-14,All Residential,Place/City,FALSE,TX,0.979791856,0.10%,0.60%,54,-43.20%,-6.90%,182,-9.50%,-39.70%,25,-7,-31,$125K,8.70%,15.40%,65,-32.30%,-14.50%
"Galveston, TX",Jan-15,All Residential,Place/City,FALSE,TX,0.956769288,1.10%,1.70%,50,-37.50%,6.40%,538,5.50%,-4.30%,86,-42,-27,$174K,4.20%,-8.20%,146,135.50%,11.50%
"Baytown, TX",Mar-12,All Residential,Place/City,FALSE,TX,0.966317896,0.40%,-1.00%,57,-3.40%,-9.50%,365,-6.90%,-30.30%,80,-9,3,$106K,7.10%,-13.50%,108,17.40%,-20.00%
"Pasadena, TX",Sep-12,All Residential,Place/City,FALSE,TX,0.98173449,2.50%,1.00%,57,-28.80%,0.00%,359,-2.20%,-25.70%,65,9,-21,$112K,10.90%,17.90%,82,-14.60%,1.20%
"Galveston, TX",Mar-13,All Residential,Place/City,FALSE,TX,0.943386297,-0.20%,3.60%,74,21.30%,27.60%,621,3.50%,-1.30%,73,-25,-7,$167K,3.40%,24.00%,156,11.40%,-8.20%
"League City, TX",Jun-13,All Residential,Place/City,FALSE,TX,0.978515606,0.20%,0.10%,185,-5.60%,20.90%,471,-1.90%,-19.50%,32,-7,-17,$200K,8.10%,7.90%,220,-11.30%,8.40%
"Texas City, TX",Jun-13,All Residential,Place/City,FALSE,TX,0.951381886,-2.10%,6.10%,29,-37.00%,-3.30%,210,-1.40%,-10.30%,50,-23,-15,$103K,2.30%,77.60%,46,-31.30%,-29.20%
"Baytown, TX",Sep-13,All Residential,Place/City,FALSE,TX,0.96648652,0.10%,1.40%,75,-17.60%,-11.80%,360,1.10%,-11.50%,47,-4,-17,$125K,-7.40%,2.50%,107,0.90%,7.00%
"Friendswood, TX",May-14,All Residential,Place/City,FALSE,TX,0.978777336,0.10%,0.40%,94,30.60%,-2.10%,152,-3.80%,-31.80%,18,-3,-25,$226K,-0.90%,19.20%,87,-15.50%,-17.10%
"Pasadena, TX",Aug-14,All Residential,Place/City,FALSE,TX,0.974156038,-0.90%,0.20%,100,5.30%,4.20%,224,-8.90%,-21.40%,19,-1,-35,$129K,2.80%,19.00%,93,-27.30%,-13.90%
"Friendswood, TX",Oct-14,All Residential,Place/City,FALSE,TX,0.972814351,0.30%,0.90%,75,36.40%,10.30%,138,-8.00%,-22.90%,31,5,-18,$207K,16.90%,-4.80%,60,5.30%,9.10%
"Friendswood, TX",Nov-14,All Residential,Place/City,FALSE,TX,0.959512713,-1.30%,-2.30%,53,-29.30%,6.00%,130,-5.80%,-23.10%,51,20,6,$262K,26.60%,50.40%,57,-5.00%,5.60%
"League City, TX",Jan-15,All Residential,Place/City,FALSE,TX,0.981579468,0.40%,0.40%,108,-39.30%,4.90%,365,0.30%,-9.00%,37,-7,-26,$218K,-4.00%,7.30%,165,24.10%,13.00%
"Missouri City, TX",Mar-15,All Residential,Place/City,FALSE,TX,0.975987417,-1.10%,0.20%,136,29.50%,0.00%,288,-2.00%,-18.60%,19,-17,-7,$226K,6.60%,4.10%,174,27.90%,-5.40%
"Houston, TX",Mar-15,All Residential,Place/City,FALSE,TX,0.977386723,0.10%,-0.30%,2393,30.10%,-5.70%,6921,1.20%,21.50%,23,-4,-3,$194K,9.30%,8.40%,3463,9.40%,5.70%
"League City, TX",Sep-15,All Residential,Place/City,FALSE,TX,0.978340759,-0.50%,0.50%,205,1.00%,11.40%,389,-4.00%,-10.00%,27,11,-1,$235K,1.30%,10.40%,199,-2.50%,18.50%
"Baytown, TX",Sep-15,All Residential,Place/City,FALSE,TX,0.979896381,1.20%,0.20%,95,-7.80%,1.10%,288,0.70%,-6.80%,19,-8,-16,$145K,-3.30%,-3.10%,100,-31.50%,-10.70%
"Sugar Land, TX",Nov-15,All Residential,Place/City,FALSE,TX,0.967389943,0.20%,-0.90%,118,-29.30%,-15.10%,545,-2.20%,70.30%,50,8,22,$347K,6.80%,5.20%,152,-26.20%,-11.10%
"Houston, TX",Jan-16,All Residential,Place/City,FALSE,TX,0.965157593,-0.30%,-1.30%,1663,-32.70%,2.80%,8111,2.70%,23.50%,45,7,12,$185K,-7.50%,8.80%,3048,48.50%,-5.00%
"Houston, TX",Feb-16,All Residential,Place/City,FALSE,TX,0.969143972,0.40%,-0.70%,1872,12.60%,1.80%,8592,5.90%,25.70%,49,4,22,$183K,-1.00%,3.40%,3521,15.50%,11.20%
"Missouri City, TX",Jun-16,All Residential,Place/City,FALSE,TX,0.979794086,0.70%,-0.90%,165,26.00%,-12.20%,459,7.00%,28.60%,21,-11,7,$240K,-4.00%,1.10%,199,-1.00%,-1.50%
"Texas City, TX",Jul-16,All Residential,Place/City,FALSE,TX,0.99078306,5.00%,4.00%,48,-20.00%,-15.80%,105,-7.10%,-26.10%,19,-5,-35,$118K,-5.10%,-2.10%,50,-35.90%,-12.30%
"Pasadena, TX",Nov-16,All Residential,Place/City,FALSE,TX,0.970220442,-0.60%,-1.00%,69,-14.80%,15.00%,178,-3.80%,-7.80%,23,-2,1,$143K,2.10%,19.40%,85,-19.00%,9.00%
"Missouri City, TX",Jan-17,All Residential,Place/City,FALSE,TX,0.969035655,-0.80%,0.00%,88,-37.60%,-4.30%,437,0.50%,23.40%,42,-12,-5,$238K,-0.90%,4.50%,149,34.20%,-12.40%
